masterid,x,y,lon,lat
"830",929514.173034698,126311.203430191,-74.1968507418299,40.5132012695014
"831",929562.430786148,126653.643615723,-74.1966799544345,40.5141415004732
"832",929545.626220748,126955.158813477,-74.196742826158,40.5149689989389
"834",929013.891784668,127364.895629913,-74.198658530332,40.5160903546856
"835",929236.247009277,127135.755615249,-74.1978569635519,40.5154627902124
"836",929532.522583023,127167.81262207,-74.1967916710522,40.5155526124992
"837",929524.96679689,127304.485595718,-74.1968199498199,40.5159277072688
"838",929519.405822754,127407.188781753,-74.1968407799596,40.5162095737111
"839",929501.495788574,127671.167785659,-74.1969073280505,40.5169340354281
"842",929813.565429688,127360.935607925,-74.1957824548527,40.5160844270037
"843",929915.864990249,127024.984802261,-74.1954118369114,40.5151629327754
"845",929023.540832534,128361.038635284,-74.1986319512103,40.5188246377017
"847",929400.564025879,128780.535217285,-74.1972793216703,40.5199784144479
"849",929320.945007339,128972.028015152,-74.1975672432512,40.5205035331053
"850",929477.601440459,128010.432189971,-74.1969960097388,40.5178651042301
"851",929439.737426788,128469.903198242,-74.1971359111168,40.5191260308447
"852",929372.439025879,128883.312988281,-74.197381312682,40.5202603459187
"855",929736.009826675,128056.13104251,-74.1960669815817,40.5179921302191
"856",929718.778808609,128300.579406753,-74.1961309235895,40.5186629885763
"857",929700.711242676,128577.812988296,-74.1961981398006,40.5194238308966
"859",929973.266418472,128163.71282959,-74.1952145211008,40.5182888762117
"860",929981.448791519,128786.657836914,-74.1951900845123,40.5199987916813
"863",920185.350036636,130490.515808105,-74.2304401152096,40.5246102293819
"865",920392.813598648,130129.299438506,-74.2296904667038,40.5236202561541
"866",920435.028015137,130471.244201705,-74.2295418476719,40.5245591319047
"872",920247.14080812,131603.729431167,-74.2302283793599,40.5276662301945
"878",920741.592407256,134941.428588882,-74.2284810830155,40.5368311145623
"888",920184.339599609,138084.972229019,-74.230515635896,40.5454555131645
"920",922182.158813491,139378.780822784,-74.2233391526979,40.5490209662988
"924",922215.746215835,130074.499633819,-74.2231330141809,40.5234827740824
"926",922692.916992217,130704.957641631,-74.2214224026836,40.5252165827887
"936",922452.295837432,132942.401184082,-74.2223083443318,40.5313562577908
"938",922521.067016602,132375.288818374,-74.2220557793946,40.5298001236004
"943",922621.216430679,132627.204040542,-74.2216978097184,40.5304922781196
"947",922938.887023941,132850.671997085,-74.2205570791691,40.5311078552476
"951",922196.182617202,133513.42962651,-74.2232349057337,40.5329218316359
"954",922485.378234863,133190.336425811,-74.2221915980209,40.5320370220608
"956",922500.778442383,133358.695617706,-74.2221377335391,40.5324992423938
"960",922781.515991241,133138.384399414,-74.2211258069825,40.531896480722
"967",921704.820800781,134969.930603057,-74.2250160022309,40.536916190764
"972",922182.022399902,135104.738830596,-74.2233004391123,40.5372895646815
"975",922406.677612305,134488.962402359,-74.2224865793036,40.5356009481901
"978",922457.596008345,135382.42181398,-74.2223115543473,40.5380536738608
"979",922484.275817886,135593.035034209,-74.2222174905711,40.5386319515841
"980",922511.362426788,135800.790405273,-74.2221219355272,40.5392023878011
"983",922813.64843753,135173.829834014,-74.2210286905116,40.5374836029287
"984",922804.682006851,135411.040588394,-74.2210631024621,40.5381346377911
"985",922794.140625015,135618.858398452,-74.2211029144307,40.5387049838407
"986",922819.275207534,135826.19720459,-74.2210143689234,40.5392742622197
"988",922724.472229019,135164.075805694,-74.2213494284537,40.5374562119692
"990",922107.481994644,136159.634826675,-74.2235782967028,40.5401845248652
"991",921791.20300293,136390.024841309,-74.2247183366134,40.5408146786439
"992",922468.301208511,136957.695617691,-74.2222874218161,40.5423775648808
"993",922529.439819351,136037.479614288,-74.2220590560425,40.5398521789223
"994",922665.505798355,136037.007202163,-74.2215695138366,40.5398518279601
"995",922636.975585938,136439.194641113,-74.2216758215729,40.540955555177
"996",922676.260437027,136304.559204116,-74.2215332552334,40.5405862802065
"997",922586.627990752,136608.804016113,-74.22185851058,40.541420749627
"1000",922831.0704346,136302.637390152,-74.2209762565637,40.5405820784863
"1002",922835.145996124,136686.183410645,-74.2209650742694,40.5416348649847
"1007",922714.538635254,138328.809021011,-74.2214139451127,40.5461427117879
"1011",922745.646606445,139826.23840335,-74.2213156271537,40.5502530738568
"1017",923133.188598648,130142.15039064,-74.2198336606272,40.5236748294416
"1018",923479.447631866,130983.267395049,-74.2185957418409,40.5259859114223
